Actual Price,Predicted Price
280,154.2472
90,76.85239
200,116.74637
55,143.19495
100,101.2909
59,98.79212
125,175.66853
199,130.7965
98,137.48074
275,124.10031
46,98.206436
299,213.27702
50,91.38627
270,139.53918
140,123.34532
180,183.58038
60,109.05655
133,131.94073
50,76.97191
55,102.944374
63,116.194916
65,112.055115
130,127.758
50,126.08066
90,148.67798
299,162.89816
70,76.85198
105,171.75975
99,78.34047
99,89.68562
175,178.73444
250,176.0338
97,109.00409
56,112.047195
198,153.47847
139,184.00436
200,162.87009
55,96.077034
70,177.26312
150,72.05438
50,89.618965
67,118.82763
54,102.79821
95,115.98407
158,102.52636
220,138.74507
130,109.575165
45,77.2979
150,121.91088
250,156.15413
40,90.00194
150,145.36427
80,146.77873
125,166.52597
100,125.12791
88,125.68255
115,118.35146
100,166.7552
122,142.7509
175,127.18308
229,209.83704
44,79.4633
60,71.24283
90,150.60126
72,82.30644
125,84.821266
100,113.1854
103,113.14555
80,71.46475
92,135.95781
85,120.81906
55,81.887665
55,60.6137
65,109.203384
150,207.33174
90,169.5241
220,189.96451
149,156.87921
50,101.19945
150,122.21539
125,94.20174
110,121.493645
79,92.86447
85,118.74965
200,161.00883
250,137.85161
206,148.37349
199,164.67201
55,105.44247
140,221.25162
200,164.45432
100,66.97556
69,169.73947
70,77.36854
245,135.63313
151,198.0442
50,95.977325
70,108.68161
55,58.941914
36,43.506603
65,96.175
39,68.82642
55,54.635155
109,124.60043
149,141.76547
70,128.00986
42,89.08793
190,200.3803
50,76.11045
125,86.07285
65,145.27827
60,77.79495
100,109.093
299,81.72771
49,63.028736
215,142.96814
35,42.028057
110,82.71568
179,165.61794
200,90.443
69,130.01274
69,112.50096
110,103.58022
49,73.77822
239,241.76564
60,86.34222
85,152.25835
100,177.39781
69,116.60042
80,68.76092
95,62.843906
115,72.96772
220,166.7188
125,130.1249
65,78.055504
55,99.0824
150,70.34739
285,149.54971
99,135.264
77,125.15186
75,108.91359
80,74.00531
235,156.17882
44,97.08916
65,111.83535
125,69.002106
49,72.09056
195,139.37111
80,86.48568
110,149.92737
60,69.865585
220,187.1877
48,88.82821
110,143.73163
60,119.17109
60,186.13318
99,147.48764
135,88.23512
120,109.11036
46,53.450153
80,150.9204
250,97.063995
59,75.35718
70,102.80075
180,159.64359
135,150.49704
175,118.53515
100,87.005455
43,77.98754
45,72.79829
99,116.634125
147,142.4653
150,125.30007
198,176.53749
185,155.90532
200,152.9763
80,119.04858
150,91.621254
270,142.17177
79,70.70179
145,117.89409
70,106.120895
185,159.10576
55,69.397316
195,133.51588
200,107.852135
55,88.40899
65,99.11053
48,87.35703
125,120.5116
50,90.853424
50,145.88506
95,84.75347
80,175.5543
295,151.08379
30,80.40969
250,148.82477
80,84.96362
81,114.81112
185,90.51079
45,95.44218
161,108.29093
175,161.30392
229,168.77843
35,72.64341
66,125.720345
200,137.37126
60,89.970955
60,89.85594
110,193.57094
100,95.124275
250,71.54394
49,83.774284
39,76.149185
77,106.014046
99,129.2991
40,68.84238
